time, concentration
3600.1, 2.440393497409925e-07
7200.1, 2.6841260046045598e-06
10800.1, -0.0002932827341024754
14400.1, -0.004021178330919209
18000.1, 0.0017884361414393707
21600.1, -0.4347629670420879
25200.1, -0.004239194071931881
28800.1, -0.0021054248084548728
32400.1, 0.01014542195449115
36000.1, 0.011977996423102846
39600.1, 0.013342228431007623
43200.1, 0.008365035480928859
46800.1, 0.00019839002326718972
50400.1, -7.383830942029639e-05
54000.1, 0.0002094316024653281
57600.1, -0.002510671732659745
